abdon, 1000000, 0000000
abdona, 0101000, 0000000
abdonowi, 0010000, 0000000
abdonem, 0000100, 0000000
abdonie, 0000011, 0000000
abel, 1000000, 0000000
abla, 0101000, 0000000
ablowi, 0010000, 0000000
ablem, 0000100, 0000000
ablu, 0000011, 0000000
abercjusz, 1000000, 0000000
abercjusza, 0101000, 0000000
abercjuszowi, 0010000, 0000000
abercjuszem, 0000100, 0000000
abercjuszu, 0000011, 0000000
abraham, 1000000, 0000000
abrahama, 0101000, 0000000
abrahamowi, 0010000, 0000000
abrahamem, 0000100, 0000000
abrahamie, 0000011, 0000000
absalon, 1000000, 0000000
absalonu, 0100000, 0000000
absalonowi, 0010000, 0000000
absalona, 0001000, 0000000
absalonem, 0000100, 0000000
absalonie, 0000011, 0000000
achacjusz, 1000000, 0000000
achacjusza, 0101000, 0000000
achacjuszowi, 0010000, 0000000
achacjuszem, 0000100, 0000000
achacjuszu, 0000011, 0000000
achacy, 1011011, 0000000
achaców, 0100000, 0000000
achacym, 0000100, 0000000
achilles, 1000000, 0000000
achillesa, 0101000, 0000000
achillesowi, 0010000, 0000000
achillesem, 0000100, 0000000
achillesie, 0000011, 0000000
adalbert, 1000000, 0000000
adalberta, 0101000, 0000000
adalbertowi, 0010000, 0000000
adalbertem, 0000100, 0000000
adalbercie, 0000011, 0000000
adam, 1000000, 0000000
adama&nbsp;adamu, 0100000, 0000000
adamowi, 0010000, 0000000
adama&nbsp;adam, 0001000, 0000000
adamem, 0000100, 0000000
adamie, 0000011, 0000000
adaukt, 1001000, 0000000
adaukta, 0100000, 0000000
adauktowi, 0010000, 0000000
adauktem, 0000100, 0000000
adaukcie, 0000011, 0000000
addar, 1001000, 0000000
addaru, 0100000, 0000000
addarowi, 0010000, 0000000
addarem, 0000100, 0000000
addarze, 0000011, 0000000
ado, 1000000, 0000001
ada, 0101000, 1000000
adowi, 0010000, 0000000
adem, 0000100, 0000000
adu, 0000011, 0000000
adolf, 1000000, 0000000
adolfa, 0101000, 1000000
adolfowi, 0010000, 0000000
adolfem, 0000100, 0000000
adolfie, 0000011, 0010010
adrian, 1000000, 0000000
adriana, 0101000, 1000000
adrianowi, 0010000, 0000000
adrianem, 0000100, 0000000
adrianie, 0000011, 0000000
afanazy, 1010011, 0000000
afanazów, 0100000, 0000000
afanazami, 0001000, 0000000
afanazym, 0000100, 0000000
agapit, 1001000, 0000000
agapitu, 0100000, 0000000
agapitowi, 0010000, 0000000
agapitem, 0000100, 0000000
agapicie, 0000011, 0000000
agaton, 1000000, 0000000
agatona, 0101000, 0000000
agatonowi, 0010000, 0000000
agatonem, 0000100, 0000000
agatonie, 0000011, 0000000
agatonik, 1001000, 0000000
agatonika, 0100000, 0000000
agatonikowi, 0010000, 0000000
agatonikiem, 0000100, 0000000
agatoniku, 0000011, 0000000
agenor, 1001000, 0000000
agenoru, 0100000, 0000000
agenorowi, 0010000, 0000000
agenorem, 0000100, 0000000
agenorze, 0000011, 0000000
ageusz, 1000000, 0000000
ageusza, 0101000, 0000000
ageuszowi, 0010000, 0000000
ageuszem, 0000100, 0000000
ageuszu, 0000011, 0000000
alan, 1000000, 0000000
alana, 0101000, 0000000
alanowi, 0010000, 0000000
alanem, 0000100, 0000000
alanie, 0000011, 0000000
alban, 1000000, 0000000
albana, 0101000, 0000000
albanowi, 0010000, 0000000
albanem, 0000100, 0000000
albanie, 0000011, 0000000
albaniusz, 1000000, 0000000
albaniusza, 0101000, 0000000
albaniuszowi, 0010000, 0000000
albaniuszem, 0000100, 0000000
albaniuszu, 0000011, 0000000
albert, 1000000, 0000000
alberta, 0101000, 1000000
albertowi, 0010000, 0000000
albertem, 0000100, 0000000
albercie, 0000011, 0010010
albin, 1000000, 0000000
albina, 0101000, 1000000
albinowi, 0010000, 0000000
albinem, 0000100, 0000000
albinie, 0000011, 0010010
albrecht, 1000000, 0000000
albrechta, 0101000, 0000000
albrechtowi, 0010000, 0000000
albrechtem, 0000100, 0000000
albrechcie, 0000011, 0000000
aleksander, 1000000, 0000000
aleksandra, 0101000, 1000000
aleksandrowi, 0010000, 0000000
aleksandrem, 0000100, 0000000
aleksandrze, 0000011, 0010010
aleksy, 1000001, 0000000
aleksego, 0101000, 0000000
aleksemu, 0010000, 0000000
aleksym, 0000110, 0000000
alf, 1100000, 0000000
alfowi, 0010000, 0000000
alfa, 0001000, 0000000
alfem, 0000100, 0000000
alfie, 0000011, 0000000
alfred, 1000000, 0000000
alfreda, 0101000, 1000000
alfredowi, 0010000, 0000000
alfredem, 0000100, 0000000
alfredzie, 0000011, 0010010
ali, 1000001, 0110010
ałych, 0100000, 0000000
aliemu, 0010000, 0000000
aliego, 0001000, 0000000
alim, 0000110, 0000000
alojzy, 1000001, 0100000
alojzego, 0101000, 0000000
alojzemu, 0010000, 0000000
alojzym, 0000110, 0000000
alpinian, 1000000, 0000000
alpiniana, 0101000, 0000000
alpinianowi, 0010000, 0000000
alpinianem, 0000100, 0000000
alpinianie, 0000011, 0000000
amadeusz, 1000000, 0000000
amadeusza, 0101000, 0000000
amadeuszowi, 0010000, 0000000
amadeuszem, 0000100, 0000000
amadeuszu, 0000011, 0000000
ambroży, 1000001, 0000000
ambrożego, 0101000, 0000000
ambrożemu, 0010000, 0000000
ambrożym, 0000110, 0000000
amedeusz, 1000000, 0000000
amedeusza, 0101000, 0000000
amedeuszowi, 0010000, 0000000
amedeuszem, 0000100, 0000000
amedeuszu, 0000011, 0000000
amin, 1001000, 0000000
aminu, 0100000, 0000000
aminowi, 0010000, 0000000
aminem, 0000100, 0000000
aminie, 0000011, 0000000
amon, 1000000, 0000000
amona, 0101000, 0000000
amonowi, 0010000, 0000000
amonem, 0000100, 0000000
amonie, 0000011, 0000000
amos, 1000000, 0000000
amosa, 0101000, 0000000
amosowi, 0010000, 0000000
amosem, 0000100, 0000000
amosie, 0000011, 0000000
ananiasz, 1000000, 0000000
ananiasza, 0101000, 0000000
ananiaszowi, 0010000, 0000000
ananiaszem, 0000100, 0000000
ananiaszu, 0000011, 0000000
anastazy, 1000001, 0000000
anastazego, 0101000, 0000000
anastazemu, 0010000, 0000000
anastazym, 0000110, 0000000
anatol, 1000000, 0000000
anatola, 0101000, 0000000
anatolowi, 0010000, 0000000
anatolem, 0000100, 0000000
anatolu, 0000011, 0000000
andonik, 1001000, 0000000
andonika, 0100000, 0000000
andonikowi, 0010000, 0000000
andonikiem, 0000100, 0000000
andoniku, 0000011, 0000000
andron, 1001000, 0000000
andronu, 0100000, 0000000
andronowi, 0010000, 0000000
andronem, 0000100, 0000000
andronie, 0000011, 0000000
andrzej, 1000000, 0000000
andrzeja, 0101000, 0000000
andrzejowi, 0010000, 0000000
andrzejem, 0000100, 0000000
andrzeju, 0000011, 0000000
angel, 1001000, 0000000
angelu, 0100011, 0000000
angelowi, 0010000, 0000000
angelem, 0000100, 0000000
angelus, 1000000, 0000000
angelusu, 0100000, 0000000
angelusowi, 0010000, 0000000
angelusa, 0001000, 0000000
angelusem, 0000100, 0000000
angelusie, 0000011, 0000000
anicet, 1001000, 0000000
anicetu, 0100000, 0000000
anicetowi, 0010000, 0000000
anicetem, 0000100, 0000000
anicecie, 0000011, 0010010
antoni, 1000001, 0000000
antoniego, 0101000, 0000000
antoniemu, 0010000, 0000000
antonim, 0000110, 0000000
antonin, 1001000, 0000000
antonina, 0100000, 1000000
antoninowi, 0010000, 0000000
antoninem, 0000100, 0000000
antoninie, 0000011, 0010010
antym, 1000000, 0000000
antymu, 0100000, 0000000
antymowi, 0010000, 0000000
antyma, 0001000, 0000000
antymem, 0000100, 0000000
antymie, 0000011, 0000000
anzelm, 1000000, 0000000
anzelma, 0101000, 0000000
anzelmowi, 0010000, 0000000
anzelmem, 0000100, 0000000
anzelmie, 0000011, 0000000
apolinary, 1001001, 0000000
apolinar, 0100000, 0000000
apolinarom, 0010000, 0000000
apolinarami, 0000100, 0000000
apolinarach, 0000010, 0000000
apollo, 1000001, 0000000
apolla&nbsp;apollina&nbsp;apolla, 0101000, 0000000
apollowi&nbsp;apollinowi&nbsp;apollowi, 0010000, 0000000
apollem&nbsp;apollinem&nbsp;apollem, 0000100, 0000000
apollu&nbsp;apollinie&nbsp;apollu, 0000010, 0000000
apoloniusz, 1000000, 0000000
apoloniusza, 0101000, 0000000
apoloniuszowi, 0010000, 0000000
apoloniuszem, 0000100, 0000000
apoloniuszu, 0000011, 0000000
ariel, 1000000, 0000000
ariela, 0101000, 1000000
arielowi, 0010000, 0000000
arielem, 0000100, 0000000
arielu, 0000011, 0000000
arkadiusz, 1000000, 0000000
arkadiusza, 0101000, 0000000
arkadiuszowi, 0010000, 0000000
arkadiuszem, 0000100, 0000000
arkadiuszu, 0000011, 0000000
, 1000000, 0000000
arnold, 1000000, 0000000
arnolda, 0101000, 0000000
arnoldowi, 0010000, 0000000
arnoldem, 0000100, 0000000
arnoldzie, 0000011, 0000000
arnolf, 1100000, 0000000
arnolfowi, 0010000, 0000000
arnolfa, 0001000, 0000000
arnolfem, 0000100, 0000000
arnolfie, 0000011, 0000000
aron, 1000000, 0000000
aarona, 0101000, 0000000
aaronowi, 0010000, 0000000
aaronem, 0000100, 0000000
aaronie, 0000011, 0000000
arseniusz, 1000000, 0000000
arseniusza, 0101000, 0000000
arseniuszowi, 0010000, 0000000
arseniuszem, 0000100, 0000000
arseniuszu, 0000011, 0000000
artemon, 1000000, 0000000
artemonu, 0100000, 0000000
artemonowi, 0010000, 0000000
artemona, 0001000, 0000000
artemonem, 0000100, 0000000
artemonie, 0000011, 0000000
artur, 1000000, 0000000
artura, 0101000, 0000000
arturowi, 0010000, 0000000
arturem, 0000100, 0000000
arturze, 0000011, 0000000
artus, 1000000, 0000000
artusa, 0101000, 0000000
artusowi, 0010000, 0000000
artusem, 0000100, 0000000
artusie, 0000011, 0000000
arystarch, 1000000, 0000000
arystarchu, 0100011, 0000000
arystarchowi, 0010000, 0000000
arystarcha, 0001000, 0000000
arystarchem, 0000100, 0000000
asteriusz, 1000000, 0000000
asteriusza, 0101000, 0000000
asteriuszowi, 0010000, 0000000
asteriuszem, 0000100, 0000000
asteriuszu, 0000011, 0000000
atanazy, 1010011, 0000000
atanazów, 0100000, 0000000
atanazami, 0001000, 0000000
atanazym, 0000100, 0000000
august, 1000000, 0000000
augusta, 0101000, 1000000
augustowi, 0010000, 0000000
augustem, 0000100, 0000000
auguście, 0000011, 0010010
augustyn, 1000000, 0000000
augustyna, 0101000, 1000000
augustynowi, 0010000, 0000000
augustynem, 0000100, 0000000
augustynie, 0000011, 0010010
auksencjusz, 1000000, 0000000
auksencjusza, 0101000, 0000000
auksencjuszowi, 0010000, 0000000
auksencjuszem, 0000100, 0000000
auksencjuszu, 0000011, 0000000
aureli, 1000001, 0110010
aurełych, 0100000, 0000000
aureliemu, 0010000, 0000000
aureliego, 0001000, 0000000
aurelim, 0000110, 0000000
aurelian, 1000000, 0000000
aureliana, 0101000, 0000000
aurelianowi, 0010000, 0000000
aurelianem, 0000100, 0000000
aurelianie, 0000011, 0000000
aureliusz, 1000000, 0000000
aureliusza, 0101000, 0000000
aureliuszowi, 0010000, 0000000
aureliuszem, 0000100, 0000000
aureliuszu, 0000011, 0000000
axel, 1001000, 0000000
axelu, 0100011, 0000000
axelowi, 0010000, 0000000
axelem, 0000100, 0000000
balbin, 1000000, 0000000
balbina, 0101000, 1000000
balbinowi, 0010000, 0000000
balbinem, 0000100, 0000000
balbinie, 0000011, 0010010
balcer, 1001000, 0000000
balcera, 0100000, 0000000
balcerowi, 0010000, 0000000
balcerem, 0000100, 0000000
balcerze, 0000011, 0000000
baltazar, 1000000, 0000000
baltazara, 0101000, 0000000
baltazarowi, 0010000, 0000000
baltazarem, 0000100, 0000000
baltazarze, 0000011, 0000000
barabasz, 1000000, 0000000
barabasza, 0101000, 0000000
barabaszowi, 0010000, 0000000
barabaszem, 0000100, 0000000
barabaszu, 0000011, 0000000
barnaba, 1000000, 0000000
barnaby, 0100000, 0000000
barnabie, 0010010, 0000000
barnabę, 0001000, 0000000
barnabą, 0000100, 0000000
barnabo, 0000001, 0000000
bartłomiej, 1000000, 0000000
bartłomieja, 0101000, 0000000
bartłomiejowi, 0010000, 0000000
bartłomiejem, 0000100, 0000000
bartłomieju, 0000011, 0000000
bartosz, 1001000, 0000000
bartosza, 0100000, 0000000
bartoszowi, 0010000, 0000000
bartoszem, 0000100, 0000000
bartoszu, 0000011, 0000000
bazyli, 1000001, 0000000
bazylego, 0101000, 0000000
bazylemu, 0010000, 0000000
bazylim, 0000110, 0000000
bazylid, 1000000, 0000000
bazylida, 0101000, 0000000
bazylidowi, 0010000, 0000000
bazylidem, 0000100, 0000000
bazylidzie, 0000011, 0000000
bazylis, 1000000, 0000000
bazylisa, 0101000, 0000000
bazylisowi, 0010000, 0000000
bazylisem, 0000100, 0000000
bazylisie, 0000011, 0000000
bazyliusz, 1000000, 0000000
bazyliusza, 0101000, 0000000
bazyliuszowi, 0010000, 0000000
bazyliuszem, 0000100, 0000000
bazyliuszu, 0000011, 0000000
będzimir, 1000000, 0000000
będzimiru, 0100000, 0000000
będzimirowi, 0010000, 0000000
będzimira, 0001000, 0000000
będzimirem, 0000100, 0000000
będzimirze, 0000011, 0000000
będzisław, 1000000, 0000000
będzisławia, 0100000, 0000000
będzisławowi, 0010000, 0000000
będzisława, 0001000, 1000000
będzisławem, 0000100, 0000000
będzisławie, 0000011, 0010010
bean, 1000000, 0000000
beana, 0101000, 0000000
beanowi, 0010000, 0000000
beanem, 0000100, 0000000
beanie, 0000011, 0000000
beatryks, 1000000, 0000000
beatryksa, 0101000, 0000000
beatryksowi, 0010000, 0000000
beatryksem, 0000100, 0000000
beatryksie, 0000011, 0000000
beatus, 1000000, 0000000
beatusa, 0101000, 0000000
beatusowi, 0010000, 0000000
beatusem, 0000100, 0000000
beatusie, 0000011, 0000000
benedykt, 1000000, 0000000
benedykta, 0101000, 1000000
benedyktowi, 0010000, 0000000
benedyktem, 0000100, 0000000
benedykcie, 0000011, 0010010
beniamin, 1000000, 0000000
beniamina, 0101000, 0000000
beniaminowi, 0010000, 0000000
beniaminem, 0000100, 0000000
beniaminie, 0000011, 0000000
benicjusz, 1000000, 0000000
benicjusza, 0101000, 0000000
benicjuszowi, 0010000, 0000000
benicjuszem, 0000100, 0000000
benicjuszu, 0000011, 0000000
benignus, 1000000, 0000000
benignusu, 0100000, 0000000
benignusowi, 0010000, 0000000
benignusa, 0001000, 0000000
benignusem, 0000100, 0000000
benignusie, 0000011, 0000000
benon, 1000000, 0000000
benona, 0101000, 0000000
benonowi, 0010000, 0000000
benonem, 0000100, 0000000
benonie, 0000011, 0000000
bernard, 1000000, 0000000
bernarda, 0101000, 0000000
bernardowi, 0010000, 0000000
bernardem, 0000100, 0000000
bernardzie, 0000011, 0000000
bernardyn, 1000000, 0000000
bernardyna, 0101000, 1000000
bernardynowi, 0010000, 0000000
bernardynem, 0000100, 0000000
bernardynie, 0000011, 0010010
berno, 1001001, 0000000
berna, 0100000, 1001001
bernu, 0010000, 0000000
bernem, 0000100, 0000000
bernie, 0000010, 0000000
bertold, 1000000, 0000000
bertolda, 0101000, 0000000
bertoldowi, 0010000, 0000000
bertoldem, 0000100, 0000000
bertoldzie, 0000011, 0000000
bertram, 1001000, 0000000
bertramu, 0100000, 0000000
bertramowi, 0010000, 0000000
bertramem, 0000100, 0000000
bertramie, 0000011, 0000000
bertrand, 1000000, 0000000
bertranda, 0101000, 0000000
bertrandowi, 0010000, 0000000
bertrandem, 0000100, 0000000
bertrandzie, 0000011, 0000000
biernat, 1000000, 0000000
biernatu, 0100000, 0000000
biernatowi, 0010000, 0000000
biernata, 0001000, 0000000
biernatem, 0000100, 0000000
biernacie, 0000011, 0000000
bjorn, 1000000, 0000000
bjorna, 0101000, 0000000
bjornowi, 0010000, 0000000
bjornem, 0000100, 0000000
bjornie, 0000011, 0000000
blandyn, 1000000, 0000000
blandyna, 0101000, 1000000
blandynowi, 0010000, 0000000
blandynem, 0000100, 0000000
blandynie, 0000011, 0010010
blizbor, 1001000, 0000000
blizboru, 0100000, 0000000
blizborowi, 0010000, 0000000
blizborem, 0000100, 0000000
blizborze, 0000011, 0000000
błażej, 1000000, 0000000
błażeja, 0101000, 0000000
błażejowi, 0010000, 0000000
błażejem, 0000100, 0000000
błażeju, 0000011, 0000000
bogdan, 1000000, 0000000
bogdana, 0101000, 1000000
bogdanowi, 0010000, 0000000
bogdanem, 0000100, 0000000
bogdanie, 0000011, 0010010
boguchwał, 1001000, 0000000
boguchwału, 0100000, 0000000
boguchwałowi, 0010000, 0000000
boguchwałem, 0000100, 0000000
boguchwale, 0000011, 0010010
bogudar, 1001000, 0000000
bogudaru, 0100000, 0000000
bogudarowi, 0010000, 0000000
bogudarem, 0000100, 0000000
bogudarze, 0000011, 0000000
bogumił, 1000000, 0000000
bogumiła, 0101000, 1001000
bogumiłowi, 0010000, 0000000
bogumiłem, 0000100, 0000000
bogumile, 0000011, 0010010
bogumir, 1000000, 0000000
bogumiru, 0100000, 0000000
bogumirowi, 0010000, 0000000
bogumira, 0001000, 0000000
bogumirem, 0000100, 0000000
bogumirze, 0000011, 0000000
bogurad, 1000000, 0000000
bogurada, 0101000, 0000000
boguradowi, 0010000, 0000000
boguradem, 0000100, 0000000
boguradzie, 0000011, 0000000
bogusąd, 1001000, 0000000
bogusądu, 0100000, 0000000
bogusądowi, 0010000, 0000000
bogusądem, 0000100, 0000000
bogusądzie, 0000011, 0000000
bogusław, 1001000, 0000000
bogusławia, 0100000, 0000000
bogusławowi, 0010000, 0000000
bogusławiem, 0000100, 0000000
bogusławiu, 0000010, 0000000
bogusławie, 0000001, 0010010
bogusz, 1000000, 0000000
bogusza, 0101000, 0000000
boguszowi, 0010000, 0000000
boguszem, 0000100, 0000000
boguszu, 0000011, 0000000
bohdan, 1001000, 0000000
bohdana, 0100000, 1000000
bohdanowi, 0010000, 0000000
bohdanem, 0000100, 0000000
bohdanie, 0000011, 0010010
bohusz, 1000000, 0000000
bohusza, 0101000, 0000000
bohuszowi, 0010000, 0000000
bohuszem, 0000100, 0000000
bohuszu, 0000011, 0000000
bolebor, 1001000, 0000000
boleboru, 0100000, 0000000
boleborowi, 0010000, 0000000
boleborem, 0000100, 0000000
boleborze, 0000011, 0000000
boleczest, 1000000, 0000000
boleczesta, 0101000, 0000000
boleczestowi, 0010000, 0000000
boleczestem, 0000100, 0000000
boleczeście, 0000010, 0000000
boleczescie, 0000001, 0000000
bolemir, 1000000, 0000000
bolemiru, 0100000, 0000000
bolemirowi, 0010000, 0000000
bolemira, 0001000, 0000000
bolemirem, 0000100, 0000000
bolemirze, 0000011, 0000000
bolemysł, 1000010, 0000000
bolemysła, 0101000, 0000000
bolemysłowi, 0010000, 0000000
bolemysłem, 0000100, 0000000
bolemysle, 0000001, 0000000
bolesław, 1001000, 0000000
bolesławia, 0100000, 0000000
bolesławowi, 0010000, 0000000
bolesławiem, 0000100, 0000000
bolesławiu, 0000010, 0000000
bolesławie, 0000001, 0010010
bonawentura, 1011010, 0000000
bonawentury, 0100000, 0000000
bonawenturą, 0000100, 0000000
bonawenturo, 0000001, 0000000
bonifacy, 1000001, 0000000
bonifacego, 0101000, 0000000
bonifacemu, 0010000, 0000000
bonifacym, 0000110, 0000000
borys, 1000000, 0000000
borysa, 0101000, 0000000
borysowi, 0010000, 0000000
borysem, 0000100, 0000000
borysie, 0000011, 0000000
borysław, 1001000, 0000000
borysławia, 0100000, 0000000
borysławowi, 0010000, 0000000
borysławiem, 0000100, 0000000
borysławiu, 0000010, 0000000
borysławie, 0000001, 0000000
borzymir, 1000000, 0000000
borzymiru, 0100000, 0000000
borzymirowi, 0010000, 0000000
borzymira, 0001000, 0000000
borzymirem, 0000100, 0000000
borzymirze, 0000011, 0000000
borzysław, 1001000, 0000000
borzysławia, 0100000, 0000000
borzysławowi, 0010000, 0000000
borzysławiem, 0000100, 0000000
borzysławiu, 0000010, 0000000
borzysławie, 0000001, 0010010
borzywoj, 1000000, 0000000
borzywoja, 0101000, 0000000
borzywojowi, 0010000, 0000000
borzywojem, 0000100, 0000000
borzywoju, 0000011, 0000000
bożebor, 1001000, 0000000
bożeboru, 0100000, 0000000
bożeborowi, 0010000, 0000000
bożeborem, 0000100, 0000000
bożeborze, 0000011, 0000000
bożeciech, 1000000, 0000000
bożeciechu, 0100011, 0000000
bożeciechowi, 0010000, 0000000
bożeciecha, 0001000, 1000000
bożeciechem, 0000100, 0000000
bożydar, 1001000, 0000000
bożegodaru, 0100000, 0000000
bożemudarowi, 0010000, 0000000
bożymdarem, 0000100, 0000000
bożymdarze, 0000010, 0000000
bożydarze, 0000001, 0000000
bożymierz, 1000000, 0000000
bożymierza, 0101000, 0000000
bożymierzowi, 0010000, 0000000
bożymierzem, 0000100, 0000000
bożymierzu, 0000011, 0000000
bożysław, 1000000, 0000000
bożysławia, 0100000, 0000000
bożysławowi, 0010000, 0000000
bożysława, 0001000, 1000000
bożysławem, 0000100, 0000000
bożysławie, 0000011, 0010010
bożywoj, 1000000, 0000000
bożywoja, 0101000, 0000000
bożywojowi, 0010000, 0000000
bożywojem, 0000100, 0000000
bożywoju, 0000011, 0000000
bratumił, 1000000, 0000000
bratumiła, 0101000, 1000000
bratumiłowi, 0010000, 0000000
bratumiłem, 0000100, 0000000
bratumile, 0000011, 0010010
brodzisław, 1000000, 0000000
brodzisławia, 0100000, 0000000
brodzisławowi, 0010000, 0000000
brodzisława, 0001000, 0000000
brodzisławem, 0000100, 0000000
brodzisławie, 0000011, 0000000
bronimir, 1000000, 0000000
bronimiru, 0100000, 0000000
bronimirowi, 0010000, 0000000
bronimira, 0001000, 0000000
bronimirem, 0000100, 0000000
bronimirze, 0000011, 0000000
bronisław, 1001000, 0000000
bronisławia, 0100000, 0000000
bronisławowi, 0010000, 0000000
bronisławiem, 0000100, 0000000
bronisławiu, 0000010, 0000000
bronisławie, 0000001, 0010010
bronisz, 1001000, 0000000
bronisza, 0100000, 0000000
broniszowi, 0010000, 0000000
broniszem, 0000100, 0000000
broniszu, 0000011, 0000000
broniwoj, 1000000, 0000000
broniwoja, 0101000, 0000000
broniwojowi, 0010000, 0000000
broniwojem, 0000100, 0000000
broniwoju, 0000011, 0000000
bruno, 1000000, 0000000
brunona, 0101000, 0000000
brunonowi, 0010000, 0000000
brunonem, 0000100, 0000000
brunonie, 0000011, 0000000
brunon, 1000000, 0000000
brunonu, 0100000, 0000000
brykcjusz, 1000000, 0000000
brykcjusza, 0101000, 0000000
brykcjuszowi, 0010000, 0000000
brykcjuszem, 0000100, 0000000
brykcjuszu, 0000011, 0000000
budzigniew, 1001000, 0000000
budzigniewia, 0100000, 0000000
budzigniewowi, 0010000, 0000000
budzigniewiem, 0000100, 0000000
budzigniewiu, 0000010, 0000000
budzigniewie, 0000001, 0000000
budzimir, 1000000, 0000000
budzimiru, 0100000, 0000000
budzimirowi, 0010000, 0000000
budzimira, 0001000, 0000000
budzimirem, 0000100, 0000000
budzimirze, 0000011, 0000000
budzisław, 1001000, 0000000
budzisławia, 0100000, 0000000
budzisławowi, 0010000, 0000000
budzisławiem, 0000100, 0000000
budzisławiu, 0000010, 0000000
budzisławie, 0000001, 0010010
budzisz, 1001000, 0000000
budzisza, 0100000, 0000000
budziszowi, 0010000, 0000000
budziszem, 0000100, 0000000
budziszu, 0000011, 0000000
budziwój, 1000000, 0000000
budziwoja, 0101000, 0000000
budziwojowi, 0010000, 0000000
budziwojem, 0000100, 0000000
budziwoju, 0000011, 0000000
burchard, 1001000, 0000000
burcharda, 0100000, 0000000
burchardowi, 0010000, 0000000
burchardem, 0000100, 0000000
burchardzie, 0000011, 0000000
cecyl, 1001000, 0000000
cecyla, 0100000, 0000000
cecylowi, 0010000, 0000000
cecylem, 0000100, 0000000
cecylu, 0000011, 0000000
cecylian, 1000000, 0000000
cecyliana, 0101000, 0000000
cecylianowi, 0010000, 0000000
cecylianem, 0000100, 0000000
cecylianie, 0000011, 0000000
cecyliusz, 1000000, 0000000
cecyliusza, 0101000, 0000000
cecyliuszowi, 0010000, 0000000
cecyliuszem, 0000100, 0000000
cecyliuszu, 0000011, 0000000
celestyn, 1000000, 0000000
celestyna, 0101000, 1000000
celestynowi, 0010000, 0000000
celestynem, 0000100, 0000000
celestynie, 0000011, 0010010
cezariusz, 1000000, 0000000
cezariusza, 0101000, 0000000
cezariuszowi, 0010000, 0000000
cezariuszem, 0000100, 0000000
cezariuszu, 0000011, 0000000
cezary, 1000001, 0100000
cezarego, 0101000, 0000000
cezaremu, 0010000, 0000000
cezarym, 0000110, 0000000
charyzjusz, 1000000, 0000000
charyzjusza, 0101000, 0000000
charyzjuszowi, 0010000, 0000000
charyzjuszem, 0000100, 0000000
charyzjuszu, 0000011, 0000000
chociebor, 1001000, 0000000
chocieboru, 0100000, 0000000
chocieborowi, 0010000, 0000000
chocieborem, 0000100, 0000000
chocieborze, 0000011, 0000000
chociemir, 1000000, 0000000
chociemiru, 0100000, 0000000
chociemirowi, 0010000, 0000000
chociemira, 0001000, 0000000
chociemirem, 0000100, 0000000
chociemirze, 0000011, 0000000
chociesław, 1000000, 0000000
chociesławia, 0100000, 0000000
chociesławowi, 0010000, 0000000
chociesława, 0001000, 0000000
chociesławem, 0000100, 0000000
chociesławie, 0000011, 0000000
chrystian, 1000000, 0000000
chrystiana, 0101000, 0000000
chrystianowi, 0010000, 0000000
chrystianem, 0000100, 0000000
chrystianie, 0000011, 0000000
chryzant, 1000000, 0000000
chryzanta, 0101000, 0000000
chryzantowi, 0010000, 0000000
chryzantem, 0000100, 0000000
chryzancie, 0000011, 0000000
chwalibóg, 1000000, 0000000
chwaliboga, 0101000, 0000000
chwalibogu, 0010010, 0000000
chwalibogiem, 0000100, 0000000
chwaliboże, 0000001, 0000000
chwalimir, 1000000, 0000000
chwalimiru, 0100000, 0000000
chwalimirowi, 0010000, 0000000
chwalimira, 0001000, 1000000
chwalimirem, 0000100, 0000000
chwalimirze, 0000011, 0010010
chwalisław, 1001000, 0000000
chwalisławia, 0100000, 0000000
chwalisławowi, 0010000, 0000000
chwalisławiem, 0000100, 0000000
chwalisławiu, 0000010, 0000000
chwalisławie, 0000001, 0010010
cibor, 1001000, 0000000
ciboru, 0100000, 0000000
ciborowi, 0010000, 0000000
ciborem, 0000100, 0000000
ciborze, 0000011, 0000000
ciechomir, 1000000, 0000000
ciechomiru, 0100000, 0000000
ciechomirowi, 0010000, 0000000
ciechomira, 0001000, 0000000
ciechomirem, 0000100, 0000000
